date,Global sea level as an average of Church and White (2011) and UHSLC data
1/15/1900,-150.31406
4/15/1900,-151.78073
7/15/1900,-152.0474
10/15/1900,-155.38072
1/15/1901,-155.4474
4/15/1901,-156.58073
7/15/1901,-156.5474
10/15/1901,-147.48073
1/15/1902,-145.58073
4/15/1902,-150.78073
7/15/1902,-153.71407
10/15/1902,-145.41406
1/15/1903,-144.81406
4/15/1903,-134.61406
7/15/1903,-138.3474
10/15/1903,-145.71407
1/15/1904,-144.78073
4/15/1904,-147.74739
7/15/1904,-152.24739
10/15/1904,-155.08073
1/15/1905,-160.5474
4/15/1905,-160.81406
7/15/1905,-154.41406
10/15/1905,-150.81406
1/15/1906,-154.9474
4/15/1906,-150.41406
7/15/1906,-146.8474
10/15/1906,-148.98073
1/15/1907,-151.1474
4/15/1907,-147.28073
7/15/1907,-147.38072
10/15/1907,-157.0474
1/15/1908,-154.48073
4/15/1908,-153.9474
7/15/1908,-149.61406
10/15/1908,-156.48073
1/15/1909,-152.31406
4/15/1909,-146.31406
7/15/1909,-152.78073
10/15/1909,-148.6474
1/15/1910,-150.8474
4/15/1910,-150.9474
7/15/1910,-146.31406
10/15/1910,-148.71407
1/15/1911,-149.1474
4/15/1911,-144.08073
7/15/1911,-141.38072
10/15/1911,-133.58073
1/15/1912,-142.9474
4/15/1912,-149.68073
7/15/1912,-142.6474
10/15/1912,-141.08073
1/15/1913,-142.0474
4/15/1913,-150.21407
7/15/1913,-140.31406
10/15/1913,-136.11406
1/15/1914,-137.5474
4/15/1914,-139.6474
7/15/1914,-143.61406
10/15/1914,-132.18073
1/15/1915,-108.7474
4/15/1915,-124.214066
7/15/1915,-135.9474
10/15/1915,-136.3474
1/15/1916,-129.58073
4/15/1916,-125.58073
7/15/1916,-134.78073
10/15/1916,-132.61406
1/15/1917,-127.78073
4/15/1917,-137.38072
7/15/1917,-134.48073
10/15/1917,-135.68073
1/15/1918,-134.41406
4/15/1918,-138.5474
7/15/1918,-135.71407
10/15/1918,-134.1474
1/15/1919,-141.0474
4/15/1919,-138.38072
7/15/1919,-128.48073
10/15/1919,-130.78073
1/15/1920,-138.31406
4/15/1920,-134.81406
7/15/1920,-127.18073
10/15/1920,-133.78073
1/15/1921,-131.91406
4/15/1921,-126.814064
7/15/1921,-129.5474
10/15/1921,-136.5474
1/15/1922,-131.9474
4/15/1922,-129.88072
7/15/1922,-133.6474
10/15/1922,-134.74739
1/15/1923,-128.58073
