Row Labels,Sum of Global warming: monthly temperature anomaly
1880-01-15,-0.19
1880-02-15,-0.24
1880-03-15,-0.09
1880-04-15,-0.16
1880-05-15,-0.1
1880-06-15,-0.21
1880-07-15,-0.18
1880-08-15,-0.1
1880-09-15,-0.14
1880-10-15,-0.23
1880-11-15,-0.21
1880-12-15,-0.18
1881-01-15,-0.2
1881-02-15,-0.14
1881-03-15,0.03
1881-04-15,0.05
1881-05-15,0.06
1881-06-15,-0.19
1881-07-15,0
1881-08-15,-0.04
1881-09-15,-0.16
1881-10-15,-0.22
1881-11-15,-0.18
1881-12-15,-0.07
1882-01-15,0.16
1882-02-15,0.13
1882-03-15,0.04
1882-04-15,-0.17
1882-05-15,-0.14
1882-06-15,-0.23
1882-07-15,-0.17
1882-08-15,-0.07
1882-09-15,-0.14
1882-10-15,-0.24
1882-11-15,-0.17
1882-12-15,-0.36
1883-01-15,-0.29
1883-02-15,-0.37
1883-03-15,-0.12
1883-04-15,-0.18
1883-05-15,-0.17
1883-06-15,-0.08
1883-07-15,-0.07
1883-08-15,-0.14
1883-09-15,-0.21
1883-10-15,-0.11
1883-11-15,-0.23
1883-12-15,-0.11
1884-01-15,-0.13
1884-02-15,-0.08
1884-03-15,-0.36
1884-04-15,-0.4
1884-05-15,-0.34
1884-06-15,-0.35
1884-07-15,-0.31
1884-08-15,-0.28
1884-09-15,-0.27
1884-10-15,-0.25
1884-11-15,-0.34
1884-12-15,-0.31
1885-01-15,-0.59
1885-02-15,-0.34
1885-03-15,-0.27
1885-04-15,-0.42
1885-05-15,-0.45
1885-06-15,-0.44
1885-07-15,-0.34
1885-08-15,-0.32
1885-09-15,-0.29
1885-10-15,-0.24
1885-11-15,-0.24
1885-12-15,-0.1
1886-01-15,-0.44
1886-02-15,-0.51
1886-03-15,-0.43
1886-04-15,-0.28
1886-05-15,-0.25
1886-06-15,-0.35
1886-07-15,-0.18
1886-08-15,-0.31
1886-09-15,-0.24
1886-10-15,-0.28
1886-11-15,-0.28
1886-12-15,-0.26
1887-01-15,-0.72
1887-02-15,-0.57
1887-03-15,-0.36
1887-04-15,-0.35
1887-05-15,-0.31
1887-06-15,-0.25
1887-07-15,-0.26
1887-08-15,-0.36
1887-09-15,-0.26
1887-10-15,-0.36
1887-11-15,-0.27
1887-12-15,-0.33
1888-01-15,-0.34
1888-02-15,-0.36
1888-03-15,-0.41
1888-04-15,-0.2
1888-05-15,-0.22
1888-06-15,-0.17
1888-07-15,-0.11
1888-08-15,-0.16
1888-09-15,-0.12
1888-10-15,0.01
1888-11-15,0.03
1888-12-15,-0.04
1889-01-15,-0.09
1889-02-15,0.16
1889-03-15,0.06
1889-04-15,0.09
1889-05-15,-0.01
1889-06-15,-0.1
1889-07-15,-0.08
1889-08-15,-0.2
1889-09-15,-0.24
1889-10-15,-0.25
1889-11-15,-0.34
1889-12-15,-0.29
1890-01-15,-0.42
1890-02-15,-0.45
1890-03-15,-0.4
1890-04-15,-0.3
1890-05-15,-0.39
1890-06-15,-0.25
1890-07-15,-0.28
1890-08-15,-0.39
1890-09-15,-0.36
1890-10-15,-0.25
1890-11-15,-0.44
1890-12-15,-0.32
1891-01-15,-0.34
1891-02-15,-0.46
1891-03-15,-0.18
1891-04-15,-0.27
1891-05-15,-0.16
1891-06-15,-0.21
1891-07-15,-0.18
1891-08-15,-0.18
1891-09-15,-0.15
1891-10-15,-0.22
1891-11-15,-0.32
1891-12-15,-0.05
1892-01-15,-0.3
1892-02-15,-0.12
1892-03-15,-0.41
1892-04-15,-0.34
1892-05-15,-0.24
1892-06-15,-0.23
1892-07-15,-0.32
1892-08-15,-0.28
1892-09-15,-0.17
1892-10-15,-0.14
